岗位,公司,城市,薪资
爬虫工程师,北京众标智能科技有限公司,上海-普陀区,0.6-1.2万/月
爬虫工程师,腾讯无线大连研发中心,大连-高新园区,1.5-2.5万/月
爬虫开发工程师,深圳市启高启辰科技有限公司,深圳-宝安区,1-1.5万/月
高级爬虫工程师,广州聚焦网络技术有限公司,广州,1-1.5万/月
爬虫工程师,北京融数易雨科技有限公司,成都,1-1.5万/月
爬虫开发工程师,武汉云外恒信息技术有限公司,武汉-洪山区,1.5-2万/月
爬虫工程师,深圳谱程未来科技有限公司,深圳-龙岗区,1-1.5万/月
爬虫开发工程师,上海六和勤强食品有限公司,上海-宝山区,2-3万/月
爬虫开发工程师,上海冠勇信息科技有限公司,上海-闵行区,1.5-2.5万/月
Python开发工程师,北京阿拉丁立方信息技术有限公司,北京-朝阳区,1.5-2万/月
Python开发工程师,建顺信息科技（广州）有限公司,广州-天河区,0.8-1.2万/月
python爬虫工程师,太平洋房屋,上海-徐汇区,1.2-1.6万/月
Python开发工程师,武汉市云估价信息技术有限公司,武汉-江汉区,1-1.5万/月
生信分析师,圣湘生物科技股份有限公司,长沙-岳麓区,0.8-1万/月
爬虫工程师,浙江天齐国际贸易集团有限公司,宁波-鄞州区,0.8-1万/月
爬虫工程师,云南云善御数科技有限责任公司,昆明,0.8-1万/月
Python开发工程师,上海易胜来网络科技有限公司,合肥-高新区,5-7千/月
爬虫初级工程师,捷荟信息技术（上海）有限公司,上海-闵行区,6-8万/月
Python开发工程师,联合服务（香港）有限公司,上海-浦东新区,1-1.5万/月
JAVA爬虫技术工程师,西安华谊兄弟影视文化传播有限公司,深圳-龙华区,0.8-1万/月
数据挖掘工程师,网思科技股份有限公司,昆明-西山区,0.8-1.5万/月
安卓逆向工程师,南极电商（上海）有限公司,上海-杨浦区,1.5-2万/月
后端开发工程师助理,华云数通科技（北京）有限公司,北京-海淀区,6-8千/月
Python/爬虫工程师,湖南省金盾信息安全等级保护评估中心有限公司,长沙-岳麓区,0.8-1.2万/月
自动化爬虫工程师,重庆傲雄在线信息技术有限公司,重庆-渝北区,0.8-1.5万/月
高级爬虫工程师,上海大智慧财汇数据科技有限公司,合肥-蜀山区,1-1.5万/月
爬虫 python（上海）,上海悦高软件股份有限公司,上海-黄浦区,6-8千/月
Python开发工程师/爬虫,广州欣诚企业管理有限公司,成都-金牛区,0.6-1.2万/月
爬虫工程师,上海态特网络科技有限公司,上海-静安区,1.2-2.4万/月
python软件开发工程师(Nodejs),中嘉康德有限公司,重庆-南岸区,0.8-1.3万/月
数据爬取与分析工程师,北京知帆科技有限公司,北京-海淀区,1.2-2.5万/月
爬虫开发工程师,郑州思博科信息技术有限公司,郑州,0.6-1万/月
WEB安全防爬工程师（新项目）(J200611026),滴滴,北京-海淀区,2-2.5万/月
python爬虫工程师,东莞市汇宏信息咨询有限公司,东莞-南城区,0.8-1.5万/月
爬虫软件开发工程师,上海稳博投资管理有限公司,上海-浦东新区,0.8-1.2万/月
少儿编程讲师,杭州童程童美编程培训有限公司,杭州-萧山区,0.8-1万/月
爬虫开发工程师,上海蜜度信息技术有限公司,上海,1-1.5万/月
爬虫工程师,安徽博约信息科技股份有限公司,合肥-高新区,0.9-1.3万/月
爬虫工程师,南京行者易智能交通科技有限公司,南京-秦淮区,150元/天
爬虫开发工程师,时趣互动（北京）科技有限公司,北京-朝阳区,1.5-2万/月
Python高级开发工程师,杭州羽联信息科技有限公司,杭州-拱墅区,1.6-2.5万/月
python爬虫开发工程师,广州帆起智造科技有限公司,广州-黄埔区,6-8千/月
Python爬虫工程师,云润大数据服务有限公司,广州-天河区,0.6-1.2万/月
物联网（IOT）安全研究员,上海斗象信息科技有限公司,北京-朝阳区,2-2.5万/月
爬虫开发工程师,上海欧恒进出口有限公司,济南-历下区,6-8千/月
资深爬虫开发工程师,杭州翔天供应链管理有限公司,杭州-拱墅区,1.5-2万/月
逆向工程师（核心岗位，有期权）,广州阿凡提电子科技有限公司,广州,4-5万/月
爬虫开发工程师,北京时空立方数字科技有限公司,广州-天河区,0.8-1.5万/月
高级爬虫工程师,广州茉莉传媒科技有限公司,广州-越秀区,0.8-1.2万/月
Nodejs,深圳市利朗达科技有限公司,深圳,1.5-2万/月
python爬虫工程师,四川隧唐科技股份有限公司,成都-武侯区,0.8-1.2万/月
python爬虫工程师,广州市万联网络科技有限公司,广州-天河区,1.5-2万/月
爬虫开发工程师,苏州微沃商贸有限公司,苏州,0.5-1万/月
爬虫工程师,广州探迹科技有限公司,广州-番禺区,1-2.4万/月
Java/python爬虫工程师,深圳中电国际信息科技有限公司,东莞,1-1.5万/月
爬虫工程师,北京腾信软创科技股份有限公司,深圳-福田区,1.5-2万/月
爬虫工程师,博拉网络股份有限公司,重庆,0.8-1.3万/月
Python开发工程师,杭州瑞成信息技术有限公司,武汉-洪山区,0.8-1.1万/月
Python高级开发工程师,北京国研网信息有限公司,成都-武侯区,1-2万/月
爬虫开发工程师,浙江钛坦科技有限公司,杭州-滨江区,1.2-1.8万/月
Python爬虫及数据整理工程师,上海布景服饰有限公司,上海-普陀区,1.2-2万/月
nodejs实习生,深圳格隆汇信息科技有限公司,深圳-南山区,2-3千/月
爬虫开发工程师,同程数科,上海-浦东新区,2-3万/月
爬虫开发工程师,换换集团,深圳-南山区,0.8-1.3万/月
Python爬虫工程师,浙江乾冠信息安全研究院有限公司,杭州-滨江区,1-1.5万/月
爬虫软件开发工程师,上海阿米特数据系统有限公司,武汉,1-1.5万/月
Java开发实习生,成都上鑫网络科技有限公司,成都-温江区,4.5-6千/月
爬虫开发工程师,优趣汇,杭州-江干区,1-1.5万/月
爬虫工程师,上海昶昌网络科技发展有限公司,上海-宝山区,1.5-2万/月
爬虫开发工程师（金融软件）,苏州银丰睿哲信息科技有限公司,苏州-吴江区,1-2万/月
后端工程师,上海盈合信息技术有限公司,上海-静安区,1.5-2万/月
爬虫开发工程师,北京北大方正电子有限公司,北京-海淀区,1.5-2万/月
爬虫工程师,郑州软通合力计算机技术有限公司,郑州,0.6-1万/月
python爬虫工程师,北京聚源锐思数据科技有限公司,张家口,6-8千/月
量化高级开发工程师,深圳希施玛数据科技有限公司,深圳-南山区,1.5-2.2万/月
爬虫工程师,广东创我科技发展有限公司,珠海-香洲区,4.5-6千/月
爬虫工程师,广东省国际工程咨询有限公司,广州,20-30万/年
爬虫开发工程师,布瑞克（苏州）农业互联网股份有限公司,苏州-相城区,6-8千/月
爬虫开发工程师,长沙麦都网络科技有限公司,长沙-长沙县,1-1.5万/月
python后端开发工程师,上海瀛太信息科技有限公司,上海,1-1.6万/月
数据爬虫工程师,网易集团,广州-天河区,1.5-2万/月
技术推广,中山嘉嘉贸易有限公司,中山,4.5-6千/月
python爬虫开发工程师,佛山市德朗司科技有限公司,佛山-南海区,0.5-1万/月
爬虫开发工程师助理,重庆凡事达科技有限公司,重庆-九龙坡区,0.5-1万/月
急招爬虫开发工程师（外包）,深圳麦亚信科技股份有限公司,深圳-南山区,1.1-1.4万/月
爬虫工程师,逸尚云联/POP趋势网,上海,1.2-2万/月
python爬虫工程师,上海琦嗨科技有限公司,上海-静安区,1.5-2万/月
研发工程师(J11070),福建博思软件股份有限公司,福州,0.8-1.2万/月
数据挖掘工程师（舆情监控方向）,深圳市万全智策企业管理咨询服务股份有限公司,深圳,1-2.5万/月
爬虫工程师,北京智能广宣科技有限公司,北京-朝阳区,1.5-2.5万/月
爬虫开发工程师,杭州凯宇信息技术有限公司,杭州-拱墅区,1.5-2.5万/月
爬虫工程师,上海六界信息技术有限公司,上海-徐汇区,1-2万/月
爬虫开发工程师,南京烽火星空通信发展有限公司,南京-建邺区,1.2-2万/月
Python开发工程师,广州迪奥信息科技有限公司,广州-天河区,0.7-1万/月
数据分析师,宁夏秦宇科技有限公司,中卫,5-8千/月
爬虫开发工程师,上海清S医药科技有限公司,上海-长宁区,2-2.5万/月
python爬虫工程师,格科微电子（上海）有限公司,上海,1.2-2万/月
爬虫开发工程师,广州经传多赢投资咨询有限公司,广州-番禺区,0.8-1.2万/月
Python高级开发工程师,雷神科技有限公司,深圳-南山区,1.5-3万/月
爬虫开发工程师,合肥网达软件有限公司,合肥,0.8-1.3万/月
爬虫开发工程师,深圳市墨者安全科技有限公司,深圳-南山区,1-2万/月
高级爬虫开发工程师/高级爬虫专家,深圳市艾姆诗数码科技有限公司,深圳-龙华区,2-2.5万/月
爬虫工程师,深圳市吉星时代科技有限公司,深圳-龙岗区,0.8-1.5万/月
爬虫开发工程师,广州市网迅信息技术有限公司,广州-番禺区,1.1-1.8万/月
爬虫开发工程师,乐车邦,上海-杨浦区,1.5-2.5万/月
高级爬虫工程师,浙江甲骨文超级码科技股份有限公司,杭州-西湖区,1.4-2万/月
爬虫开发工程师,广州市衡生科技有限公司,广州-天河区,0.8-1.2万/月
网络爬虫工程师,深圳市道合顺电子科技有限公司,深圳-福田区,1-2万/月
nodejs全栈开发工程师,上海妙点网络科技有限公司,上海-闵行区,1.3-2.6万/月
爬虫工程师,北京公瑾科技有限公司广州分公司（慧算账）,广州-天河区,1.5-3万/月
python后端开发（爬虫方向）,杭州览众数据科技有限公司,杭州-滨江区,1.2-2.5万/月
数据标注工程师,深圳市德科信息技术有限公司,上海-徐汇区,6-8千/月
Python/Java爬虫工程师,企数标普,广州-天河区,1-2万/月
爬虫工程师,易居企业（中国）集团有限公司,上海-静安区,0.8-1.2万/月
数据爬虫工程师,深圳新房网络科技有限公司,深圳-南山区,1.5-2万/月
phyton开发工程师,无锡斑目信息技术有限公司,无锡-无锡新区,1-1.5万/月
Sr. Backend Engineer (网络爬虫工程师）,北京大黄猫知识产权服务有限公司,北京-朝阳区,3-4万/月
RPA工程师(可实习),上海顿飞信息科技有限公司,上海-普陀区,0.7-1.5万/月
爬虫开发工程师（Java或Python）,北京可兰德网络技术有限公司,北京-海淀区,6-9千/月
爬虫开发工程师,上海五蕴信息科技有限公司,上海-黄浦区,1-1.5万/月
Python开发工程师,智高点知识产权集团有限公司,深圳-南山区,0.8-1万/月
Java爬虫开发工程师,衡哲信息科技（上海）有限公司,上海-普陀区,1.2-1.8万/月
爬虫开发工程师,广州网融信息技术有限公司,广州-海珠区,5-6千/月
爬虫开发工程师,21世纪报系,广州-越秀区,1-2万/月
Python开发工程师,东莞先知大数据有限公司,东莞-东城区,0.8-1.5万/月
数据工程师 Data Operations Developer,聚物腾云物联网（上海）有限公司,上海-长宁区,1-1.5万/月
爬虫开发工程师实习生,南京擎盾信息科技有限公司,南京-雨花台区,4-8千/月
爬虫开发工程师,任子行网络技术股份有限公司,深圳,1.5-2万/月
python爬虫工程师,东莞市汇兴信息咨询有限公司,东莞-南城区,0.8-1.5万/月
Python开发工程师,安徽百舟互娱网络股份有限公司,铜陵,6-8千/月
爬虫工程师,厦门黑谷网络科技有限公司,厦门-湖里区,1.5-2万/月
python爬虫工程师,东莞汇邦软件科技有限公司,东莞-南城区,0.8-1.5万/月
java爬虫工程师,上海人科数据科技有限公司,上海-长宁区,1.5-2万/月
爬虫工程师,深圳妮姬网络科技有限公司,深圳-南山区,0.6-1.5万/月
Java爬虫工程师,元知智慧建设科技有限公司,北京-朝阳区,2-3.5万/月
爬虫开发工程师,广州米果电子商务有限公司,广州-白云区,0.7-1万/月
爬虫工程师,成都银泰商务服务有限公司,成都-高新区,0.8-1.5万/月
爬虫开发工程师,长沙天地宽网络科技有限公司,长沙,1-1.5万/月
爬虫开发工程师,烟台星商电子商务有限公司,烟台,5-9千/月
Java爬虫/python爬虫开发工程师,上海新致软件股份有限公司,上海-浦东新区,2-2.5万/月
应用开发、算法研究,江苏省联合征信有限公司,南京-建邺区,150元/天
数据爬虫岗,浙江泰隆商业银行股份有限公司,杭州-上城区,1.5-2万/月
Web后端开发工程师,GroupM群邑（上海）广告有限公司,上海-静安区,1.5-2万/月
python爬虫工程师,成都龙捷科技有限公司,深圳-南山区,0.7-1.1万/月
爬虫工程师,扬州达福智能科技有限公司,南京-建邺区,0.6-1.1万/月
爬虫开发工程师,深圳市阿卡索资讯股份有限公司,深圳-罗湖区,1.5-2万/月
爬虫工程师,杭州蚊子会创业服务有限公司,杭州-余杭区,1.2-2万/月
爬虫开发工程师,奕帆信息科技（深圳）有限公司,深圳-龙华区,1-1.5万/月
python开发工程师,深圳市通拓科技有限公司,深圳-龙岗区,1.5-2万/月
爬虫开发工程师,上海同界数据科技股份有限公司,上海-静安区,1-1.5万/月
爬虫脚本工程师,上海瑟尚网络科技有限公司,上海-普陀区,1.5-2万/月
爬虫开发助理工程师,福建恒安集团有限公司,泉州,4-6千/月
爬虫运维工程师,湖南星汉数智科技有限公司,长沙-岳麓区,6-8千/月
python爬虫工程师,四川电科网安科技有限公司,成都-双流区,1.3-1.8万/月
爬虫开发工程师,江苏昊视科技发展有限公司,常州-新北区,0.7-1.2万/月
数据分析师（爬虫工程师）,义乌中国小商品城大数据有限公司,义乌,1.5-2万/月
Python爬虫,杭州策软科技有限公司,杭州,1.1-1.8万/月
爬虫工程师,广东盛坤黄金投资有限公司,广州,6-8千/月
数据采集/网络爬虫工程师―python,湖南九浪网络科技有限公司,长沙-开福区,0.8-2万/月
某外资500强- Python后端开发工程师,江苏超正科技有限公司,上海-嘉定区,1.4-1.7万/月
爬虫开发工程师,北京美住美宿科技有限公司,北京-朝阳区,2-2.5万/月
python爬虫工程师,深圳数位传媒科技有限公司,深圳-南山区,1.5-2万/月
爬虫开发工程师,重庆德实财税咨询有限公司,重庆-沙坪坝区,4.5-6千/月
爬虫工程师-核心研发平台-合肥,科大讯飞股份有限公司,合肥-蜀山区,5-7千/月
高级爬虫开发工程师,亿翰智库,上海-静安区,1.2-1.5万/月
爬虫开发工程师,苏州遇见信息科技有限公司,苏州-工业园区,6-8千/月
爬虫开发工程师,翼果（深圳）科技有限公司,深圳-南山区,1-2万/月
软件测试工程师,中电积至（海南）信息技术有限公司北京分公司,北京-西城区,1-1.5万/月
高级Python工程师,广东中思拓大数据研究院有限公司,广州-天河区,2.5-3万/月
爬虫工程师,重庆空间视创科技有限公司,重庆-渝北区,6-9千/月
爬虫开发工程师,北京三六九数动科技有限公司,北京-朝阳区,1.5-2.5万/月
高级爬虫工程师,得物App,上海-杨浦区,2-4万/月
高级爬虫工程师,深圳市财盈通科技有限公司,深圳-龙岗区,1.5-2.5万/月
网络爬虫工程师,北京汉邦年代文化科技有限公司,北京-海淀区,1-2万/月
爬虫开发工程师,广州小鹰科技有限公司,广州-天河区,0.8-1.2万/月
python爬虫工程师,深圳市卖家成长网络科技有限公司,深圳-龙华区,1.5-2万/月
python爬虫工程师,深圳市英驰贸易科技有限公司,深圳-龙华区,1.5-2万/月
爬虫开发工程师,依通（北京）科技有限公司,北京-丰台区,0.8-1万/月
Python开发/爬虫工程师,深圳市优伟同创科技有限公司,深圳-南山区,2-4万/月
爬虫开发工程师,成都与梦同行科技有限公司,上海-徐汇区,0.7-1.3万/月
爬虫工程师实习生,广东赢商网数据服务股份有限公司,广州-天河区,3-3千/月
Python工程师（数据采集）,南京云帐房网络科技有限公司北京分公司,南京-雨花台区,1-1.5万/月
爬虫开发工程师,坤金聚宝（深圳）科技有限公司,深圳-罗湖区,1.2-1.8万/月
高级爬虫工程师（DX22wjj）,北京东方国信科技股份有限公司,成都,1.3-1.5万/月
Python开发工程师(J11786),邦道科技有限公司,无锡-无锡新区,0.8-1万/月
Python爬虫开发工程师,广州市华谊通用科技有限公司,广州-天河区,2-2.5万/月
高级爬虫开发工程师,上海瑛太莱信息科技有限公司,上海,1.5-3万/月
爬虫工程师,湖南御泥坊（御家汇）化妆品有限公司,长沙-岳麓区,1-1.5万/月
Java开发工程师,武汉安域信息安全技术有限公司,武汉-武昌区,0.8-1万/月
爬虫工程师 五险一金,杭州溜达网络科技有限公司,杭州-西湖区,1.5-2万/月
C#开发工程师,广州爱推电子商务有限公司,广州-番禺区,0.8-1万/月
爬虫工程师,浙江子不语电子商务有限公司,杭州-余杭区,1.5-2万/月
爬虫工程师,广州市玄武无线科技股份有限公司,广州,1-1.3万/月
爬虫开发工程师,成都盯潮科技有限公司,成都,1.2-1.8万/月
网络爬虫开发维护,安徽山又木合信息科技有限公司,合肥-滨湖新区,1-3万/月
爬虫助理,大合手（深圳）信息科技有限公司,烟台,3-5千/月
软件开发工程师（网络爬虫方向）(J10619),中移（苏州）软件技术有限公司,苏州-高新区,2-2.5万/月
爬虫开发工程师,无锡神探电子科技有限公司,无锡-惠山区,20-30万/年
数据挖掘工程师（双休+14薪）,成都优格瑞得科技有限公司,深圳-南山区,4-8千/月
python实习生,重庆大司空信息科技有限公司,重庆-渝北区,2-3千/月
爬虫开发工程师,名创优品（广州）有限责任公司,广州,1-1.5万/月
AI程序研发工程师,上海外服（集团）有限公司,南京-雨花台区,0.9-1.5万/月
爬虫工程师,北京阿拉丁立方信息技术有限公司,北京-朝阳区,1.2-1.8万/月
python爬虫工程师 数据清洗,太平洋房屋,上海-徐汇区,1.2-1.6万/月
数据挖掘工程师,网思科技股份有限公司,异地招聘,0.8-1.5万/月
爬虫研发工程师,南极电商（上海）有限公司,上海-杨浦区,1-2万/月
中级爬虫工程师,上海大智慧财汇数据科技有限公司,合肥-蜀山区,0.8-1万/月
初级爬虫工程师,上海大智慧财汇数据科技有限公司,合肥-蜀山区,6-8千/月
爬虫 python（上海）,上海悦高软件股份有限公司,上海-黄浦区,6-8千/月
Java/python爬虫工程师,深圳中电国际信息科技有限公司,异地招聘,1-1.5万/月
Python爬虫工程师,杭州瑞成信息技术有限公司,武汉-洪山区,1.5-2.2万/月
Python爬虫工程师,北京国研网信息有限公司,成都-武侯区,1-1.5万/月
高级爬虫工程师,深圳格隆汇信息科技有限公司,深圳-南山区,1.5-2万/月
爬虫开发工程师,上海盈合信息技术有限公司,上海-静安区,1.5-2万/月
高级爬虫工程师(J13354),北京北大方正电子有限公司,北京-海淀区,1.5-2.3万/月
爬虫开发工程师,郑州软通合力计算机技术有限公司,郑州,0.7-1万/月
Python爬虫工程师,北京聚源锐思数据科技有限公司,北京-海淀区,0.8-1万/月
Python高级开发工程师,上海瀛太信息科技有限公司,上海,1-1.8万/月
网络安全开发工程师,上海瀛太信息科技有限公司,上海,1-1.6万/月
爬虫工程师,网易集团,广州-天河区,1.5-2.5万/月
高级爬虫开发工程师,佛山市德朗司科技有限公司,佛山-南海区,0.5-1万/月
爬虫开发工程师,合肥网达软件有限公司,合肥,0.8-1.5万/月
数据标注工程师,深圳市德科信息技术有限公司,上海-浦东新区,6-8千/月
爬虫工程师,易居企业（中国）集团有限公司,上海-静安区,7-9千/月
高级爬虫工程师,捷荟信息技术（上海）有限公司,上海-闵行区,1.2-2.5万/月
python爬虫工程师,衡哲信息科技（上海）有限公司,上海-普陀区,1-1.8万/月
python 数据库后端工程师,东莞先知大数据有限公司,异地招聘,0.8-1.5万/月
python 数据库后端工程师,东莞先知大数据有限公司,东莞-东城区,0.8-1.5万/月
爬虫工程师,烟台星商电子商务有限公司,烟台,5-9千/月
爬虫开发工程师,湖南星汉数智科技有限公司,长沙-岳麓区,0.8-1万/月
数据分析师（爬虫工程师）,义乌中国小商品城大数据有限公司,异地招聘,1.5-2万/月
JAVA中级程序员,北京可兰德网络技术有限公司,北京-海淀区,6-9千/月
爬虫开发工程师,亿翰智库,上海-静安区,1.2-1.5万/月
爬虫工程师组长,上海清S医药科技有限公司,上海-长宁区,2-2.5万/月
爬虫开发工程师,北京三六九数动科技有限公司,北京-朝阳区,3-4万/月
高级Python爬虫工程师,深圳市卖家成长网络科技有限公司,深圳-龙华区,1.2-2万/月
项目经理/技术经理/主管（python爬虫）,深圳市英驰贸易科技有限公司,深圳-龙华区,1.6-2.5万/月
高级python爬虫工程师,深圳市英驰贸易科技有限公司,深圳-龙华区,1.5-2万/月
数据爬虫工程师（实习生）,广东赢商网数据服务股份有限公司,广州-天河区,3-4.5千/月
Python工程师（数据采集）(J10189),南京云帐房网络科技有限公司北京分公司,南京-雨花台区,1-1.5万/月
java爬虫开发工程师,广州市华谊通用科技有限公司,广州-天河区,2-2.5万/月
爬虫开发工程师,上海人科数据科技有限公司,上海-长宁区,1.3-1.7万/月
java爬虫工程师（双休+14薪）,成都优格瑞得科技有限公司,深圳-南山区,4-8千/月
Python爬虫,广州迪奥信息科技有限公司,广州-天河区,2-4千/月
高级爬虫工程师,名创优品（广州）有限责任公司,异地招聘,1.5-2万/月
机器人程序开发工程师,上海外服（集团）有限公司,南京-雨花台区,0.9-1.5万/月
